id,a,b,ciphertext
c01,173,0x14509ba017c683b73d17fbf5,0x4ac7958b6a8b697d43a5ff323d478628d66c39ed14613a7260bbe186d0c6771d215ef64121f4daa970e092dafb0c832685fddbf6dd3877cbcc851f456c062bd5c069c131f3f1ee12ece120ab02387f3136e09d62fc03188f
c02,159,0x7f4af06eaded1e39f9931f11,0x13eaf5f756697f8ab39507f01a5bd6dd900ea0cad3bc34744b1ea248877297ae69930f11e5668187df6ee27afd6cad3d4f2e002f8237ea15e8866b023552120909f1c1838cfe92a68e75f70d93536f29bcef373545e13f8b
c03,49,0x5196a0bdde48f564377e429b,0x2ef93f27f2c64696b15c7dd0bd7246ff9d83ee6045eaef0d3f31f256ca65ee2fcd147db35837c831bbae33ea02abdb2fb39f51a1fa317b03ca5fd608d667048f00094f25b4c0e2e6c816fb62c3ba90d8cd595d178ed90062
c04,193,0x5b5b4ae9047a8e2aa39707d7,0x84de7550052e6f1cb14908eb626fe20bbd84ad033270bec6515275d716581f5b0381f6ef2dbdf32042053cc0792b2b8f33f61a72dfbe8557743d85e41a22d8ee2cbe9cd04226cebc13c809bb13d325545c5c9f564c329274
c05,63,0x2435ccb2cd7587fb65bd49,0x80ec1279334edad28af2cd16906e70f3b008ae6170b50a903e9181bae74e13f906cdafc35d1444186ab5b7e672d4896fec320fea56a3be1073790a7ad5eb25744ebb557caa1bce27991f3a088f3fb28b2be6a337dc3bb345
c06,7,0x4529a4b3c06b62b0a5bb3985,0x4f4e72fee3247b53e6de10cea10b1c6863bf5289a7ae1e633c88eb54831430dbb75982eb494c9040967fd4bc416e05f0aaa20bec180833c070994ed1b6460d5e23969520b453d436fceec5adb2575ea443a15c1431c5621d
c07,27,0x3099b4bb6d2ff4af1db14a0d,0x65b746852accee8722e10800ec89150af99843cbb2955a7cb7355a4209fc006e7d0bbe1b6aff96edd30792e314e2cc3903f58bcabaddb8be16b53c2519cb5ec0ccd807798e03e516863c819666cf446ff036dd9d91ba0b5b
c08,143,0xaedb3ed54d169f6c2330c81f,0x30f94178ae3bc55e824952d23c6cce2808cfe1b50d17200aeb8cc829dc213ade11886b19a24755d801c2b4b066e552f978953dcda595529ea1b3d4d6840407512121c085e2a914f57c95d55fa1ace3840bda9df401caf6e8
c09,71,0x91e7db3103ed47016d130999,0x45c9e0cfac271b407fe03e279f8a291500318b186205df7b673ef13db5760cf34a325637307d446ec2ec385a8fc069e86d13c33c6c23598b32c388f73179adb8f0b857f3c368ab3b0890f8bdb539a707ba8e62ce530d9606
c10,31,0x9dd94acc6b4b7e68745841ef,0x78342f0c4657a5e8e741c3d384a3f7046c8acab39c98104adf03a74efdc78258897fb4fe2dae4691f34b329b065957e6903bd70a030eda880430edd88ed807dc270fdf01b1cac8761561bdfdb87ee2f2d132e9156de0957a
c11,217,0x350238cf38c6ab507756ea4b,0x21e8ced179860ba5fa63bd91902e5564a412d061bf7b0f31a2311c25dddb3ba668c4fd1cc06a1303bcb73cdf6c3b1590d3edf87f8217ef715c75c921c64b3cf3f12e2015bd320322a931f736781489cc7529f296f9287db5
c12,97,0xabb7d82b1592e0f46a5e8e49,0x835f94dc27369bbae657f76d7e13876bd7a234949ec44fd1e858d11de856779751d07805ece944082c4baf7675d0a1b219648bfec29b18cd1e22e9dc32ccf52a13a6eefddcbae6444ffee72e0451524b945dfbb25a7f2795
c13,73,0xbec7689bb12a8347216215af,0x6632a3cbd9740705288428527f9552022b8c3f615b653eb9c78792bc43165b4ad9fd4f6e8fda5c9dac95f529476c490060b392bb1669a646a8065a87bc8ce445e693e3b072754e265183372c734abb3eb4f132f6085d3d69
c14,127,0xa94654caade570457d1bfcef,0x309a1deb25e992123d8cecb8fdefb14fdb77f9f71da36e7d1e257792c0b328f148eff9f2ace24f8ad5ce2b2b63de018af494d448bd651049ed413b2cf520bd0d1ff6857c78917d982667d0e167464e3d86e1228d26abb5a7
c15,199,0x914ae9ff0e842511e1a9de9f,0xd405a9e153c28b6c6537945b9c652f05583fc1840f89d6c9f34e58dc3775d010415fd4680f720a05d663ed7a2c008e5077509719d78e52d86ce974fa9877baa1281e8e637569eebb3b6779e7c8605a704f4996adaf7ab1d
c16,173,0xb87b4cae81cfdd0168ad45e1,0x10ec51c0de7d9899ab60601c1113715151a4efabc465e8704254a7c9b21dd6c0dbd51307a59a681140fd48992f5d582c8eda74b5279e5fc3b753d7e4ba6b8623b511e75fd62c85e7b1fdc67ec6b7a38f4c2f9795d227097d
c17,5,0xa53a450d431f123c454f8c5f,0x776790f77be4469dfe0b1f978c7176461979a6f59d145c219d76be7b2f0ff27af3f5d3613eb242ccfcd45d5131fdb0cd9e9935af1f6b4b06f1dc45fdc8a6525c1738e64c37b699c92777ef8a071effe8d494fb7b7aa124bc
c18,95,0x479ad25cbd987d6ea60285cb,0x6122d4dee8b363f59f37e5f123cde98c58862b8b016c0555707fa6cd531ac22a2e357582398a08271fb4e71d743a451e9f0cd4a376e7e4b82bd41ddcdd20f81ce2dcd79b6aabe0d50e10a0a1090e319877cb8746582e7f3d
c19,7,0xaba795235d4606de8500f0f9,0x14a39da86c5b9c5cb5775adb5052d3bf529f919f6ef352a9b60b5f5ebce63937ef6de4f0e72b006595e73767a6d4b7bd4f0bf3d3ece8aee1dcc0a46d442a4e63b4da8855e9289ed4693ce67d68a3280e4ee3824adef13765
c20,211,0x4c73adf1d83ccb8be624aaf5,0x507d12c7c2df2af85adb17a4271af95cbcadb9e0792deff1d1972bd8a3a21ccada4def180550f8115cd0ad2c46a0afe85effba81459ebbfb66b34c2ffb841b843cd02adcc8b407c813bd0840ef21b38f53953ff864d6c4ee
c21,77,0xa5e0e27b2fe25aa8befdcf57,0x4a3c37190bc1c1de0059b8afd9148b20e917232da04c1641382540bd83056991de31edce15f3a808982b42e9e2fe18653eb99bd2bf3e2d4d7b06c971c43100d8b2c430276415739b4e829069f136d98d40021b43d5697e76
c22,71,0x2ba39f04a5109e04ee2211f5,0x7316fc3676dcb51a39931f8d933d6cf3b07f7ff36cf8c7adb6083594e5b53f830b22c6c7af1e9f3fe830bb7d8fb6cd173ec85c55eea03cc53d08c115be9ce9af3db2fa857b8c7c23e9978ccb7736d0997d0fc2b3da115e4b
c23,27,0xfb5ddce2d6ca794d1f2da613,0x64c2e8727700a7dc3e411e85b7e40a6c42695b23356c723575cfe5ae60134444c1dbf7fa43b50412cfea32c061226d0772f132d28ddbb436f0d05c47f64388da8d252c60afbe80c6c4f01e2bb9287af799311a2ef7634b9e
c24,23,0x4b10dd1430dde099bccfeea3,0x7a7bb264ea4cfecc4c1ed9b1d89b679af77f7d70d1b812caad3511f7a9aa798114f846f39829557a888d284efd0c4a56d78ea4a5938d8cbb1cef55ffb648653c1828c004a091179afbb409b5781a77a5a81c4a5f5e13dd9d
c25,65,0x87b021e56cdc3dc2270f3327,0x79fea9bbc431eac7a011858dbe12b15a0327a2b37e3a27879670d1947562c7211301e0a5a0a955f9ac0a9d44186c4dbfec166bb352be2cbee096a48952695b1aaabd79fb1ca637ae4cf1d7b143a871dca3fd39b96d549785
c26,149,0x37255af0e9d35d6b83694e3b,0x20cd92aae54e06d550dcf43c2d01f6ba0cd24e2822c748902b72d9cb409b46d371ea888fc9ce61b98dd16e1704bc9314605031e0dc01a756f35458c3aa1632ba09f001bdd5146b2af57750d653f19622b585bbd2ba2822ba
c27,137,0x62477cebee2c4e70bda79721,0x31383284d649c2a410a1d56b938c450039ad3d14b89daac245597f31ab3bcb5c9ec0418f5fab536bf23b430888a688ba7259290182c600680cb336b6f93d029a20c655bf4f2990becd046513c1d8839d249f8acc2d9e261c
c28,107,0x93b45074a68d75823f3d6a79,0x263b25ebe24727243cf7ee9ecb2ef0e6e2a158898e6d961c0664967fe596c546e1c573560402027ad934268d6543964bcf7bd4b9cd0697019183792876ee43ac212da17b199b5dd38bf9c38df2e7c611aaef2242debd1893
c29,155,0x5bb73a37bb90dda008a388a1,0x5d6adbda87594fcb0cd60486815f9bbe2175c48f3de95f30e78772d86962ca348d3cd639a75398c2e0ab79c5176e6d9822ba24db60b631e48c91a90918f4cba320e42c837f97093afed56f26c54dbb51486a0264d9bd88fd
c30,103,0x50e750ffb80d8f21e4597743,0x239ffad49a9d43fa5d1656c390ec939f91ff206d7d3ea3b257db57de63cf612539b0ede49293b153ef214452b601391deabdeaf2497a520215d1dab9b80af93b1ea5d0ab961013b4ec6e11e8771f7d9c89a0f037b05dcfbe
c31,121,0xc437d6caeb4465c0df8c56bb,0x6af9e1374e9e212ed50644645d635602c89d8e2fd4f053bf15f321315f21de0d7eaa9613cb4383a32f0cc29d1337120a7fdf579875595c38c639801c1d923bc2a70d137128f00e3b0b9616a11092bcdabe3a2ac9713e619c
c32,49,0x4ba134d8f93484fd8bd96117,0x128b0fb2b5d772483bffb0b44b93cddcb21cd8879044f7dff1129e7534a720fa2709a6f3759febc09b45caf603a01a0969406158d7e67cca5e4078d99b7a9d210029f6cbbbd8227bbcc66a9e9a18869379f6d1ea9128ee73
c33,23,0x1da14396de13ccbbf15846e3,0x40f5c225d097691f1b7d58a28f54c40966b528c8a2fed6e87b8796a499d08359b38fc0148eb16a0fdb9bdaa382c7b090f58182c7e2673dbd920c78696c4ee5514682867f22ddb6d2f8f56069b244544f6aa69b5949985a40
c34,39,0x33c308a072d209f825c155a1,0x44d4898ca85c5651de5fa8c5a15c31c623656206936e963927183db93418465fe67582dc61fb1ed60d4aeb4940d8594ddf31518c5a8c74c4fe13d7fad967277b4f81df2ded6f25fe34d39e81e479abe7758893b3e1c550b2
c35,9,0xd91eed47bc5d78d3d5cc0925,0x15d6d97071c366ed46242a3b57e988bceb967296729161c1bcfcf31ab6ed006accfb53fc5a99a3611910aceaab479821d74ec26641668bea9cbb212ee4fb44a027e8a049bf62a71b994d41f999c778f39936de4de8f3f4f7
c36,151,0x9a519353bbebacddedc4fa8f,0x6e9c24df67d7c5c03c6f0f7c175cb3ce97cb705fcfa279775acfef83ed508b509eeb62c382d420f3afab25631895d62a6f603b9aa551453e10bd6c75a59ee271aa587a65b10defc8c6ec43ca7cce739d2538796022a49129
c37,165,0x61306660b7d5e8a4472c423d,0x7e38a78a6857a36bd489e23ee47b0f84539dc21fdef764f1d5dd99fd4d4180e4e488b82fa845c0c242f0b958fd6ae5533752b749c0e128143e6867ad7095d9a6588c184afce348b990b2471934e5a62a494f4d3859cc950b
c38,23,0xcbd11ee9afa3f3fd9c408271,0x542c1ac5b7c60e65d84cab45d780fe3ee293b7bcbb7f321b97f188ee288353759d7b254f4d98719e880e4e571490df9373f19508fde594c5e9e5ddfdb9106dbb4225de3bfcfa59616a67538ecad76704c28536fc37d7f62e
c39,9,0xbd1da7b5216648867bedc6f9,0x4b2e549c49a64c71fa0deac7426d63e4815f5d6e7027a1a8006b767f29fa59c386cf1bc3cd32d9a982a1bf5cf91ade0a5a08d0ef5bfe08be39ac486b68f9c62aee84e7885f2399d3fe3f42b3898671672f26c8f22b855175
c40,207,0xdab4cdcf0a792eb2a5221127,0x52742d83ce6ab663c0410112b3e58087f63e05ba0a7f3959f0dbc584b93bf0a48ea6fb4260669c31a05c93ce1b37ca2fd04b7a16f7354c43f7a7ad25f9c00d7f8474a233ab3d937d3a287a3c409ee0e1a2054def0684cc14
c41,113,0x25c8d2d3fbf088f9ad786125,0x3b721a189897a33402b7703682b87bc97ab125760c28e6d9eb4aebcf7de649a0900321f37c13822856a608993fd56da178290759dd959a0ea3efbc7c9fd158caac2f1e04db681569e729873eb9e33c5272d08b086100deda
c42,113,0x48b4e9998f7de179a20cb9f,0x2f0c50850065f55c284a819c55801a74bc3034e244a5f368f6edc6a43d25425bd4e3cd4809a77ab28dfe5641384fdeacc09e6e944092170bd43298603523e56d78e2d85aa09e688058937fbfa92de6bbb33008df8fe87c87
c43,165,0x93f366721b946ad6a19ebdcf,0x302036e542b4745356906f9adfc5e023621e15c2c7e92f61f13dad484b04f99fb4cb2365f1a365600ce4d46d5dd2319a2a0ac562c4b30d11530a7aa1e37b017118acc0fc4ce9506f13b6ddaa4522090ecb7077f30982d1ab
c44,179,0xc565caa255727c10cb8303e3,0x7460c8b07a5e648af2f09d790dbea14825f871165d360c93138845bcfb84a7e7d772aafd3543e21efd5a21fa03b8c7d0ec92e7f3cd431d0cfcb721f4f3c264ca4bdb5c542f6031ba52824ba8ecafc682bc3de742229ac8e3
c45,55,0x79e5b5d8ea2255e749bb9b3,0x701f3d6d39397db3aa990d4b48ffb5424b31d1026f8ab959bc2b544b0f68b9b1cb7110ccaaee5f7f2f1864ba4ee21538b8a90a5d427632785c6406477a7b7a02e521606b317110d81c5582f46c1caff8aa8717d3e54700e7
c46,179,0xcb2a237d7fefe4dc745ff4b,0x2ece6ca315420659c7204580aceef55f097ec83d17eb590b080f984640d92772df604642b5559e780a056024576bedbd609d100d8e1a62b6f8f7f6917524cb20cb8e3351ce7bf328d514f93908a72be92ea92f8d0d3763f8
c47,87,0x47e6607df0086eab68197ed,0x101796b20a93842f162b3e611a1713881e3c47937703b0d74b3411d1f16cbcd95583dbd4fce8b2e9c7a8e2a9fc26dca51ab05e06e1a1f0bb1936fb8460dc024b4aa54f2a186c952a81caffd7275a2493cafc999069f72c37
c48,171,0x4d18db631d7e643f80d1db7f,0x503e4b54470426f79bdfcc831331a4eb1a1305c6dad5e843e261967cd7c8adb3e415a51568be7e9a8c6bd1e60fbdc00674ede6b0c525e769621587aeb7e01d0b2a3d42f8ec05d9be4f393a407b404dda0cadcedfdfd02b9b
c49,53,0xb8e142648c897bdef506e7bf,0x4d7a64862b354e4223d2f0e39b20f431ac9dc59ebd2632c3643e747ad31ff451a7172a5a1fe7323666371575f3c1cd712648cf875d430736d30167fc5c3bf93eaae5f760445569ce140c127a0ba57ae45a66f603cfe1a8e4
c50,23,0x59fead7e25f93b7fb762fc1f,0x3d5f14c0d529f28f4a8fed705620d5ab9a82f83893bda0d9795311ef8df3bfc67d1de89d2f9800201be8c749c42bf3a3bfdac19f0c7b7132418d76d5149148de396d04752a70c2810911c6deb7466dc2b9da600746b853a1
c51,109,0x88e0048bb0e11b5e8e92e43f,0x169f89627947bd35caf03ecf043b32435887b55987291811dc7f5db7d3a3b073e206ba15218a16890fe104e69408324a714265876ccb7bc317e2bc456ebcd0875466741eec1bc925ff2add3e41c260306322321db6f820c7
c52,157,0x32bf369f00a8f387ed2999a1,0xccf7b57c4a7dfc8155185dc1638d65ef03d76084f96b98ac90f469e993924645ea605eeb57dc9a01ca6c0565ca96c1d460bf7fcb4417f26d7e348e0abaf74aaffe023d1882b84179a5fb7064d7f6a6d64186d795f74594d
c53,23,0xac43c283efbab2b90e04b62b,0x7c46269c14829d786b69206c6f81cd3a3fbe5ae52162f23a02a6b0073f1419de9c4b2a34dd98db0447632089367062f44d7f84b75a1b7ec809d37b863a2d0693005b78b80409c2d44841446ab843e85ea7d1620a9c72b23f
c54,191,0x5b1192cd3f5b016525364e93,0x65f76c16e9acd9a4b73524fe7862d4c058f21f44c2115eaaa6645ed2e240181ec037585ed165b0ec88769077b4abe4049cafac3c177c7478de8f0639b2910365add087cb36a51911ab87934858d8d9f5c0a99b8fccc0d6b4
c55,15,0x991f962a5050f53e3f1e2a31,0x24411c44ccc2a584d4da487c498e4c84453fb044b4c1db423180fa1bb97c071a00fd9590be1fe7804f0bc30aaae32af72e932d88f692dbaed3bca1e37f3adef3021351b10960f1b38f01a0bb431f2a2be4ee4533503954a7
c56,143,0xb718b57b390416ab102d773,0x5b88509b096846c4df9d40434a72f1b7f39829892545841847e8b20ff051357f122425cc12bd3fddfdfbeded13c97245c1f53d6cb9ef2ba5c19fd894534aea9492c6ffb4842ba28d27a0ac30c3c8018aae4b727421bc243a
c57,201,0x2fa741ab6ab0f9327a4d0cb3,0x10a7a6385f532dcefc8146b56a2dd23801057bf1153d72fdbfe5bd11289cbfb9979898a45c23be269a3f64dc912db403a39de6cc688ae44b46b204150235fdf0bc2b27634e32093bfe156699594b077419a5e5cb56f27ab1
c58,123,0xf36aebbd73522e370d9052c9,0x6ca55720552dde193a4b11d23b6df460f80a06efe083bdb4dbe802b6ee7e8143c4b8161825c098bc8de302fb77443a502e0667e71cf32e20ecf7d58736a3d18c85d7e87b76ce108391b4255efd60924e210030577ed9f0b9
c59,177,0xa6315d79e592af586038847f,0x403ad27f26462ee380d0504af52e57f32df02f7b6b9982d82e743baa4cd58ba39d8d47ef797a6771755593d8849eb8262cb7548db9b715722f7d2dc21346b843d90e0663e12f1b47f70298a9fd7278ce60ca1820301e0b45
c60,75,0x55b21541006d8441caf7c87d,0x7a0167f124918824d81f38be7ea03555c40562610309f76f56b05005b06f0340b9d14d2a5168a79213fefa80cc949ac922918e9d3312f4f0b97402ba022cf292f6ae88865b5075c1a201bba1c146086349ae18f5a9065607
c61,111,0x78d9fa627898a07308d5dc4d,0x3705833f549fbe9a9729843aa62fa1eaad9bc0313bee0db162ebbfd1c9da052b1e152ddc97a2a82395e6ea1ac24356a8e2eb88909e14ecd85900698258ded9af5eb1e34f8a0aa928d61aafebec618ab9e2fc4fa1fa7cde5a
c62,71,0xc88b83f45635b5e5217e9705,0x4ee83a718d8c888047e5d8301da4d91c13a61506251d1397917529f40ee8edbb8e0a911e65ed72eef041d720ff490962f4f55ca4d8407fcb16540c620daf4b07b3a84d66e7400c35439468e6f08268e697415690dc45fc35
c63,145,0xcf7fcf271f93843e8de2cd15,0x302b9110687b6fcdacdf99617f8151cd65204f1d66c393694370448b45aee07d4cdc28034494b15fa76429dbeaf465c51947ed580a357901125b4e471dbefb69c8a271888411c3e06348804924e7373e095449a6addd39e3
c64,43,0x9e5d736d1a33a06159594671,0x47b7898b825163e0e98b18d4539358a0d705f234d9466c48feb910a5ee668efda5bff9f6ff81457b109bc70c8246b34f56072a33b9e06e4a3284ef545e1227bc4f3e5d9c07b442fa08ae38c745aac9fb259eba2e303e7140
c65,175,0xc9f36cf24f3f8bfa23933613,0x6271e26ddec95d4807719da86b8952eb4cde85fad19eb78dc998d9e3a339b28b0a22625b22942fe194a43ca39797e921e89c08eb5087d27a377f0f1bd7c0a19b0cbe4aa57ba3fdc521d2a02ae09c4bb26feb697fc4c9b5e0
c66,105,0xb91483b33580896b7a5c684f,0x289bb6ec1ee3e1c61cc535ec86e4c3978d228e481d6d79f91772eda519309b19ecb9b3e8f0fc96a12d4550e0fa1a5848ad3c323c3b4348657922a5ac5781c1f219760ec773f61977334ef4d991993c453572c14453b71765
c67,69,0x10a01aad145ae11f139d77c9,0x1c433a3c0d7d345e8ff4b197840859f89c3eda2c020dbf503c2b49fd85a3a0377192a1d025f1cf15ca29dcc3f2929f40bf88a7836266620650dc3731d90bbab6663f0a27cdb7661f1c682075e6a3c6c6b28b1ad617d110cf
c68,207,0xa8cb2ef36472f5925f5994fb,0x15c312a0248acbb0d1b3fdeab4ed26d7fc42fa87165559b1e5f0a3548a5393bf30ae23f308c594da882097bbc9911ef81d70dbb26bad05f44ee616409c768fcb5fb3525f77cfae305fc11698177ed1fbf25e6b3ce6d9e927
c69,47,0xdb6fef4c6173d6e5b7d82e07,0x55f149d94eb2982abcae3b0e65c8e7bd5cf7b8f1d7debe0d2069a173238a9f8291308ce1f4822c5d348d58ad53b3f9a9cdc15e0a626163694deb8bad603f6f2980303ec9f21b13e92c848577511ba3fc451f1835ec6e213a
c70,47,0xddf74b5d2350640ad6d9120b,0x5a01f3dff8d7a8357017d939c4c63eeeb6733e875e5c50fef6fd7324807cf1f9a1f50e92df9b03e98456012dbc1e9bc46be7a7f44d6a17db1b976c5fa85daec35381662723a325f249213e3d364bb57c6ec4718338a68533
c71,63,0x256fd53d201eff1b52ea310b,0x364bc85ba4425df1b697acdf9cb1f63d6e1e8a0e62cb6c2ca3fbe11fdd4f53a5a9ce59fd771ff57d5cc816fe98d4ae8ff653179e40f9b8e70cb56a7467ee4c64205a5ed892cb753081e14cdf4715a2419722a19d66832639
c72,143,0xf6dc421eee89645c21cdb83f,0x13afe247ef47c9c9b51d5136651c0c25c0cf7274b863e850d733382bf4ecdb8c06bc893ba79a38caea6fae35dc36ec58435c39c122d761e76aa7fac2127847fe45975b87286f3413917ece0537e8d1f3f12b9c5f909e220c
